2019-12-06 20:30:25.683313+0200 CarbSync[25641:312633] Metal API Validation Enabled
reseting MPSSE.
Selecting synchronous bit-bang mode.
Setting clock rate to 153600
Starting...
2019-12-06 20:30:47.803; 0; 0; 0; 0;
2019-12-06 20:30:48.010; 0; 0; 0; 0;
2019-12-06 20:30:48.036; 0; 0; 0; 0;
2019-12-06 20:30:48.060; 0; 0; 0; 0;
2019-12-06 20:30:48.084; 0; 0; 0; 0;
2019-12-06 20:30:48.109; 0; 0; 0; 0;
2019-12-06 20:30:48.134; 0; 0; 0; 0;
2019-12-06 20:30:48.158; 0; 0; 0; 0;
2019-12-06 20:30:48.185; 0; 0; 0; 0;
2019-12-06 20:30:48.208; 0; 0; 0; 0;
2019-12-06 20:30:48.232; -47; 44; -120; 83;
2019-12-06 20:30:48.259; 169; 412; -89; 18;
2019-12-06 20:30:48.282; 40; 375; -56; 64;
2019-12-06 20:30:48.306; -15; 231; -67; 181;
2019-12-06 20:30:48.331; -8; 355; -56; 160;
2019-12-06 20:30:48.358; -46; 405; -94; 196;
2019-12-06 20:30:48.380; 136; 449; -189; 316;
2019-12-06 20:30:48.405; 333; 358; -158; 193;
2019-12-06 20:30:48.430; 257; 255; -105; 68;
2019-12-06 20:30:48.454; 159; 352; -218; 248;
2019-12-06 20:30:48.483; -5; 295; -218; 323;
2019-12-06 20:30:48.511; -111; 247; -334; 321;
2019-12-06 20:30:48.535; 88; 414; 5; 148;
2019-12-06 20:30:48.559; 56; 507; 142; 157;
2019-12-06 20:30:48.587; 126; 603; 37; 287;
2019-12-06 20:30:48.609; 51; 503; 11; 277;
2019-12-06 20:30:48.632; -14; 524; -69; 193;
2019-12-06 20:30:48.657; 83; 592; -348; 346;
2019-12-06 20:30:48.681; 4; 644; -314; 308;
2019-12-06 20:30:48.709; 75; 671; -182; -1;
2019-12-06 20:30:48.729; -4; 698; -74; 9;
2019-12-06 20:30:48.754; 64; 616; -140; 29;
2019-12-06 20:30:48.778; 76; 737; -253; 244;
2019-12-06 20:30:48.803; 11; 708; -199; 264;
2019-12-06 20:30:48.830; -48; 780; 2; 120;
2019-12-06 20:30:48.851; -63; 849; -106; 169;
2019-12-06 20:30:48.875; 16; 748; -295; 437;
2019-12-06 20:30:48.900; 22; 623; -159; 317;
2019-12-06 20:30:48.924; 1; 443; -139; 207;
2019-12-06 20:30:48.949; -18; 467; -168; 323;
2019-12-06 20:30:48.973; 39; 679; -50; 303;
2019-12-06 20:30:48.997; 72; 749; -105; 128;
2019-12-06 20:30:49.110; 139; 435; -122; 323;
2019-12-06 20:30:49.133; -1; 511; -64; 289;
2019-12-06 20:30:49.155; 25; 835; -127; 327;
2019-12-06 20:30:49.178; 62; 700; -129; 243;
2019-12-06 20:30:49.203; -147; 581; -35; 17;
2019-12-06 20:30:49.228; -68; 872; -2; -20;
2019-12-06 20:30:49.246; -93; 988; 7; 16;
2019-12-06 20:30:49.269; -100; 785; 42; 114;
2019-12-06 20:30:49.293; 116; 689; 92; 236;
2019-12-06 20:30:49.321; 81; 679; 97; 338;
2019-12-06 20:30:49.342; 86; 765; 60; 210;
2019-12-06 20:30:49.367; 54; 924; -87; 208;
2019-12-06 20:30:49.392; 50; 882; -155; 230;
2019-12-06 20:30:49.419; 143; 1046; -105; 197;
2019-12-06 20:30:49.444; 129; 928; 6; 248;
2019-12-06 20:30:49.466; 139; 495; -7; 188;
2019-12-06 20:30:49.490; 122; 730; -95; 22;
2019-12-06 20:30:49.515; 72; 897; -199; 31;
2019-12-06 20:30:49.543; 17; 698; -52; 246;
2019-12-06 20:30:49.565; -26; 678; -152; 264;
2019-12-06 20:30:49.589; -87; 634; -186; 212;
2019-12-06 20:30:49.614; 47; 730; -178; 230;
2019-12-06 20:30:49.638; 149; 855; -111; 439;
2019-12-06 20:30:49.667; 80; 821; -72; 339;
2019-12-06 20:30:49.688; 94; 699; -82; 223;
2019-12-06 20:30:49.712; 294; 754; -48; 146;
2019-12-06 20:30:49.737; 390; 684; -144; 187;
2019-12-06 20:30:49.762; 363; 750; -73; 161;
2019-12-06 20:30:49.789; 189; 850; 111; 217;
2019-12-06 20:30:49.813; 191; 784; -5; 172;
2019-12-06 20:30:49.836; 155; 647; 21; 209;
2019-12-06 20:30:49.860; 168; 526; -1; 91;
2019-12-06 20:30:49.888; 251; 803; -173; 68;
2019-12-06 20:30:49.913; 283; 981; -25; 73;
2019-12-06 20:30:49.935; 213; 710; -18; 92;
2019-12-06 20:30:49.959; 204; 795; -40; 184;
2019-12-06 20:30:49.984; 268; 618; -22; 205;
2019-12-06 20:30:50.009; 214; 493; -82; 144;
2019-12-06 20:30:50.036; 173; 595; -176; 127;
2019-12-06 20:30:50.064; 19; 961; -124; 41;
2019-12-06 20:30:50.091; 46; 1206; -68; 146;
2019-12-06 20:30:50.116; 100; 976; 5; 300;
2019-12-06 20:30:50.141; 46; 824; 28; 323;
2019-12-06 20:30:50.163; 135; 854; -70; 166;
2019-12-06 20:30:50.188; 173; 864; -177; 72;
2019-12-06 20:30:50.212; 172; 736; -171; 129;
2019-12-06 20:30:50.238; 149; 604; -158; 278;
2019-12-06 20:30:50.264; 9; 720; -248; 318;
2019-12-06 20:30:50.289; 166; 857; -126; 89;
2019-12-06 20:30:50.312; 262; 861; -77; 47;
2019-12-06 20:30:50.335; 149; 673; -219; 29;
2019-12-06 20:30:50.360; 242; 627; -116; 143;
2019-12-06 20:30:50.386; 260; 617; -93; 391;
2019-12-06 20:30:50.406; 148; 611; -154; 229;
2019-12-06 20:30:50.431; 150; 696; -66; 234;
2019-12-06 20:30:50.455; -11; 837; 53; 239;
2019-12-06 20:30:50.482; -40; 860; -67; 227;
2019-12-06 20:30:50.506; 16; 843; -110; 378;
2019-12-06 20:30:50.528; 63; 935; -168; 447;
2019-12-06 20:30:50.552; 90; 921; -383; 262;
2019-12-06 20:30:50.577; 171; 930; -147; 259;
2019-12-06 20:30:50.604; 226; 735; 47; 153;
2019-12-06 20:30:50.630; 185; 597; -9; 67;
2019-12-06 20:30:50.652; 160; 611; -11; 389;
2019-12-06 20:30:50.675; 277; 657; -88; 358;
2019-12-06 20:30:50.700; 309; 623; -104; 330;
2019-12-06 20:30:50.726; 247; 700; -104; 271;
2019-12-06 20:30:50.748; 200; 881; -136; 230;
2019-12-06 20:30:50.773; 214; 801; -148; 210;
2019-12-06 20:30:50.798; 258; 794; -34; 289;
2019-12-06 20:30:50.825; 256; 873; -17; 416;
